[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 39944
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 50101
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 172.26.15.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 48304
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 60020
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 57981
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 53559
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 50598
[+] 172.26.8.186 -> 185.125.190.57 | ALERT: Suspicious IP detected! | UDP Port: 123
[+] 185.125.190.57 -> 172.26.8.186 | ALERT: Suspicious IP detected! | UDP Port: 54056
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 255.255.255.255 | UDP Port: 17500
[+] 172.26.0.1 -> 172.26.15.255 | UDP Port: 17500
